Date received,Product,Sub-product,Consumer complaint narrative,Company public response,Company,State,ZIP code,Submitted via,Company response to consumer,Timely response?,Consumer disputed?
4/4/2014,Bank account or service,Checking account,,,WHITNEY BANK - NEW ORLEANS MAIN BRANCH,LA,70003,Referral,Closed with explanation,Yes,Yes
3/14/2016,Debt collection,Medical,,Company can't verify or dispute the facts in the complaint,"HOVG, LLC",OR,97217,Referral,Closed with explanation,Yes,Yes
11/15/2012,Mortgage,Other mortgage,,,"CITIBANK, N.A.",CA,94580,Referral,Closed with explanation,Yes,No
8/27/2018,Mortgage,Conventional home mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SANTANDER BANK, NATIONAL ASSOCIATION",,,Phone,Closed with explanation,Yes,N/A
1/17/2015,Debt collection,"Other (i.e. phone, health club, etc.)",,,"CAINE & WEINER COMPANY, INC.",TX,75070,Web,Closed with explanation,Yes,No
4/23/2013,Mortgage,Conventional fixed mortgage,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30047,Web,Closed with explanation,Yes,No
10/14/2016,Mortgage,Other mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,75751,Referral,Closed with explanation,Yes,Yes
11/28/2014,Credit card,,,,"CITIBANK, N.A.",MS,38652,Postal mail,Closed with explanation,Yes,No
8/28/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,,,Experian Information Solutions Inc.,GA,30213,Web,In progress,Yes,N/A
8/24/2018,Debt collection,Other debt,,,"RGS Financial, Inc.",NV,891XX,Web,In progress,Yes,N/A
2/16/2018,Debt collection,I do not know,"I have gotten 7 calls from AR Resources looking for a person who is not authorized to use our phone. I have called them three times and they told me they would take our number off their list. I keep getting calls so started to document. I received a call on XX/XX/XXXX at XXXX XXXX. I called them to report it, spoke with XXXX, who told me she removed it from the list at XXXX XXXX on XX/XX/XXXX. At XXXX XXXX on XX/XX/XXXX I received another call. I called back again, speaking to a very rude XXXX, who said she removed my name from the list. I asked to be connected to a supervisor and she connected me to XXXX, who did not pick up. I left a message asking her to contact me. XXXX told me they were a call center. Please stop the calls - 7 times I've been told I was being taken off the list. After 35 years, I'm considering changing my phone number - that is not right. This is harassment. Thank you.",Company believes the complaint is the result of a misunderstanding,"AR Resources, Inc. (FL)",FL,327XX,Web,Closed with explanation,Yes,N/A
4/6/2017,Credit card,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,VA,22315,Web,Closed with explanation,Yes,No
8/22/2018,Debt collection,Other debt,"I APPARENTLY HAVE AN OUTSTANDING DEBT WITH XXXX XXXX. THEY SENT THE ACCOUNT TO XXXX  XXXX XXXX. THIS COLLECTION COMPANY CALLS MY WORK AND CELL SEVERAL TIMES A DAY. UP TO 6 TIMES A DAY. I TRY TO TELL THE COMPANY TO STOP CALLING ME AND THEY HANG UP LAUGHING. I HAVE NOT RECEIVED ANY PAPERWORK FROM THIS COMPANY. AND XXXX XXXX REFUSE TO SPEAK WITH ME. I HAVE MAILED IN A CEASE AND DESIST, AND I HAVE CALLED THEM TO GET THEIR FAX NUMBER TO SEND IN THE PAPERWORK-THEY KEEP GIVING ME DIFFERENT ONES ( FAX # XXXX ) I DON'T OWE ANY MONEY TO XXXX, I CLOSED THE ACCOUNT WITH A XXXX BALANCE AND TURNED IN ALL OF MY EQUIPMENT THAT I WAS RENTING. AND SO DID MY WIFE.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Convergent Resources, Inc.",AR,727XX,Web,Closed with explanation,Yes,N/A
8/13/2015,Mortgage,Conventional fixed mortgage,,,Specialized Loan Servicing LLC,CA,92101,Web,Closed with explanation,Yes,No
4/24/2013,Bank account or service,Checking account,,,JPMORGAN CHASE & CO.,NY,11701,Web,Closed with explanation,Yes,No
7/28/2014,Mortgage,Other mortgage,,,"SELECT PORTFOLIO SERVICING, INC.",SC,29063,Fax,Closed with explanation,Yes,Yes
11/14/2013,Consumer Loan,Vehicle loan,,,JPMORGAN CHASE & CO.,RI,2840,Web,Closed with monetary relief,Yes,No
5/2/2016,Student loan,Federal student loan servicing,,,AES/PHEAA,GA,30518,Web,Closed with non-monetary relief,Yes,No
8/24/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WA,98409,Web,Closed with explanation,Yes,N/A
7/8/2014,Mortgage,Conventional adjustable mortgage (ARM),,,Ditech Financial LLC,MD,20883,Web,Closed with explanation,Yes,No
8/10/2013,Mortgage,Conventional adjustable mortgage (ARM),,,CAPITAL ONE FINANCIAL CORPORATION,CA,96701,Web,Closed with explanation,Yes,No
3/4/2014,Mortgage,Other mortgage,,,OCWEN LOAN SERVICING LLC,NJ,7724,Web,Closed with explanation,Yes,No
7/14/2016,Debt collection,Mortgage,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",MA,2468,Postal mail,Closed with explanation,Yes,No
4/1/2014,Mortgage,Other mortgage,,,"SUNTRUST BANKS, INC.",GA,30067,Referral,Closed with explanation,Yes,No
9/4/2016,Debt collection,"Other (i.e. phone, health club, etc.)",,,Alorica Inc.,IN,468XX,Web,Closed with explanation,Yes,Yes
12/2/2014,Mortgage,FHA mortgage,,,U.S. BANCORP,NC,28401,Web,Closed with explanation,Yes,No
2/18/2016,Debt collection,"Other (i.e. phone, health club, etc.)",,Company believes it acted appropriately as authorized by contract or law,"Pinnacle Credit Services, LLC",NY,11103,Web,Closed with explanation,Yes,Yes
11/18/2013,Mortgage,Other mortgage,,,JPMORGAN CHASE & CO.,TN,37075,Postal mail,Closed with explanation,Yes,No
3/23/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,"This is my Second attempt to have the problem resolved. I requested to have Accounts verified that are being reported on my CR. I still have not received any correspondence into the investigation of these accounts.According to the Fair Credit Reporting Act, Section 609 ( a ) ( 1 ) ( A ), you are required by federal law to verify -through the physical verification of the original signed consumer contract -any and all accounts you post on a credit report. Otherwise, anyone paying for your reporting services could fax, mail or email in a fraudulent account. I demand to see Verifiable Proof ( an original Consumer Contract with my Signature on it ) you have on file of the accounts listed below. Your failure to positively verify these accounts has hurt my ability to obtain credit. Under the FCRA, unverified accounts must be removed and if you are unable to provide me a copy of verifiable proof, you must remove the accounts listed below.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,,Web,Closed with explanation,Yes,N/A
1/29/2012,Mortgage,Other mortgage,,,"QUICKEN LOANS, INC.",CA,92201,Web,Closed with relief,Yes,Yes
4/26/2016,Mortgage,Other mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",NC,28428,Referral,Closed with explanation,Yes,No
7/16/2016,Debt collection,"Other (i.e. phone, health club, etc.)","this account is old, and should have been removed. it appears to have been transferred several times, they mention continue to update as un paid on my credit file, what for the rest of my life. another threat involving my way of living. amazing how I 'm following the law and getting robbed and bullied, controlled.",Company believes it acted appropriately as authorized by contract or law,"First National Collection Bureau, Inc.",PA,189XX,Web,Closed with explanation,Yes,No
4/19/2017,Mortgage,Conventional fixed mortgage,,,TD BANK US HOLDING COMPANY,VT,5488,Web,Closed with explanation,Yes,No
8/23/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,"On XX/XX/2018, I attempted to dispute an account from XXXX XXXX ( # XXXX ), this account was added to my personal credit file through theft as I was a victim of Identity theft in a security breach with XXXX XXXX XXXX. The disputes were all sent via certified mail, yet I have received no response from any of the Reporting Agencies as to the removal of this fraudulent account.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,,Web,Closed with explanation,Yes,N/A
4/16/2017,Debt collection,Auto,,Company believes it acted appropriately as authorized by contract or law,"American Credit Acceptance, LLC",TX,76210,Web,Closed with explanation,Yes,No
10/6/2017,Credit card or prepaid card,Store credit card,Alleged company use scare tactics to threaten me to pay. Funny thing is it used a fake social number and name that not even mine yet still claim I MUST pay. That 's clearly identity theft written out. Name spelt way off and Ssn number used is off. That 's clear identity theft. They ripping off me.,Company believes it acted appropriately as authorized by contract or law,"STERLING JEWELERS, INC.",HI,967XX,Web,Closed with explanation,Yes,N/A
4/18/2017,Student loan,Non-federal student loan,,,JPMORGAN CHASE & CO.,MD,20772,Referral,Closed with explanation,Yes,No
12/15/2014,Mortgage,Conventional fixed mortgage,,,OCWEN LOAN SERVICING LLC,NY,11216,Web,Closed with explanation,Yes,Yes
